Day,Date,Team A,Team B,TA player 1,TA player 2,TA player 3,TA player 4,TA player 5,TA player 6,TA player 7,TA player 8,TA player 9,TA player 10,TA player 11,TB player 1,TB player 2,TB player 3,TB player 4,TB player 5,TB player 6,TB player 7,TB player 8,TB player 9,TB player 10,TB player 11
12,04/10/2017,montpellier,amiens,200726,231307,163665,200677,226166,153260,225126,163699,192242,227667,50294,176994,202672,234624,234514,186567,159047,186197,220245,214949,169281,211321
12,04/10/2017,troyes,strasbourg,190195,208862,231098,201523,181559,208449,216482,206506,233550,220029,195912,224442,204105,183766,235552,235553,197813,184085,193147,220905,230857,236786
12,05/10/2017,nice,dijon,215223,158625,193470,150590,192725,213313,198861,230020,225199,206467,186627,204240,225934,197937,234730,237548,236639,213030,211927,198817,187988,210722
12,05/10/2017,marseille,caen,163705,183280,208520,219681,198076,185221,210896,205632,227236,204970,183483,5594,222926,179789,227222,240802,163804,205190,241238,203435,208017,188397
12,05/10/2017,metz,lille,219793,178111,203581,225859,200298,218623,183820,221250,112365,183982,211099,215698,198949,220337,210520,236723,213874,211382,214907,226110,216433,234128
12,05/10/2017,saint-etienne,lyon,167628,183395,199895,231685,190868,192722,236817,198836,225085,177712,204612,199482,180334,216266,139860,207707,234906,216594,227234,221639,202556,207948
13,17/10/2017,lille,saint-etienne,215698,220337,198949,236723,214907,225945,213874,211382,206436,226110,216433,167628,220172,159147,198688,231685,236817,198836,199170,225085,177712,204612
13,17/10/2017,amiens,monaco,176994,138704,202672,234624,204886,186197,203128,220245,169281,225584,211321,192593,229712,163407,215792,190547,209499,216393,212692,215785,167397,215334
13,18/10/2017,paris-sg,nantes,193105,207865,146530,164240,183512,210008,183898,191180,199556,190871,179813,201325,216643,207924,219693,226515,203884,232693,199393,210450,223874,204819
13,18/10/2017,strasbourg,rennes,224442,204105,183766,235552,235553,197813,235042,193147,220905,203736,157300,200332,196801,231263,219789,223293,190674,212261,236998,168293,215245,218970
13,18/10/2017,dijon,troyes,204240,210434,51620,197937,234730,188600,213030,198817,211927,187988,210722,190195,212483,208862,201523,181559,208449,206506,233550,163796,220029,195912
13,18/10/2017,toulouse,metz,231691,231633,236466,208615,231235,213556,222982,197681,193983,211239,182945,219793,178111,194196,200298,157392,225859,218623,112365,183820,211099,183982
13,18/10/2017,guingamp,angers,190120,167936,204338,169069,190014,188696,178051,49488,134779,228093,193953,209423,190579,229041,184190,189946,212449,213388,178160,230107,221740,224069
13,19/10/2017,caen,nice,5594,222926,179789,181456,212219,163804,205190,208017,188397,210534,190659,215223,158625,193470,150590,192725,213313,198861,139869,213242,230020,206467
13,19/10/2017,lyon,montpellier,199482,180334,228618,216266,230578,227234,234906,235569,221639,202556,215798,200726,200677,223597,226166,202562,153260,213325,223570,192242,183389,231041
13,19/10/2017,bordeaux,marseille,158121,221271,215699,188762,222715,112253,217605,184271,222737,224218,201073,163705,163083,183280,208520,219681,177388,210896,205632,227236,204970,183483
14,24/10/2017,saint-etienne,strasbourg,167628,159147,198688,231685,190868,225475,225085,198836,230144,177712,201966,224442,204105,183766,235552,235553,197813,235042,235041,220905,230857,236786
14,25/10/2017,rennes,nantes,200332,196801,231263,207745,219789,153296,190674,214097,236998,215245,194845,201325,207924,216643,219693,199393,209304,210450,223874,208787,204819,190716
14,25/10/2017,caen,bordeaux,5594,212219,227222,222926,181456,184706,163804,230042,208017,188397,210534,158121,221271,215699,233219,222715,217605,112253,184271,222737,224218,201073
